127.0.0.1 - - [20/Nov/2022:17:39:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:10 +0900] "GET /DB/ HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:10 +0900] "GET /DB/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:10 +0900] "GET /DB/main.jsp HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:15 +0900] "GET /DB/join.jsp HTTP/1.1" 200 4112
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:15 +0900] "GET /DB/JJWORLD.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:15 +0900] "GET /DB/Circle.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:16 +0900] "GET /DB/login.jsp HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:16 +0900] "GET /DB/Circle.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:16 +0900] "GET /DB/JJWORLD.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:19 +0900] "POST /DB/loginAction.jsp HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:22 +0900] "GET /DB/bbs.jsp HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [20/Nov/2022:17:39:24 +0900] "GET /DB/main.jsp HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:13:09 +0900] "GET /DB/ HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:13:09 +0900] "GET /DB/main.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:13:09 +0900] "GET /DB/images/%ED%95%AD%EC%86%8C.png HTTP/1.1" 200 25347
0:0:0:0:0:0:0:1 - - [20/Nov/2022:18:13:52 +0900] "GET /DB/ HTTP/1.1" 200 206
